;Cel;Aktywa;Płeć;Stan cywilny;Mieszkanie;Praca;Okres;Wiek;Ocena
1;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;13;23;Dobra
2;Meble;Niskie;M;Rozwiedziona(y);Własne;Umysłowy;25;32;Zła
3;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;19;38;Zła
4;Meble;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;13;36;Zła
5;Edukacja;Niskie;M;Samotna(y);Wynajem;Umysłowy;40;31;Dobra
6;Meble;Brak;M;Stały związek;Własne;Umysłowy;11;25;Dobra
7;Nowy samochód;Bardzo niskie;M;Stały związek;Własne;Fizyczny;13;26;Dobra
8;Business;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;14;27;Dobra
9;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;37;25;Zła
10;Drobne AGD;Brak;K;Rozwiedziona(y);Własne;Umysłowy;25;43;Zła
11;Business;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;49;32;Zła
12;Nowy samochód;Niskie;M;Samotna(y);Wynajem;Fizyczny;11;34;Dobra
13;Business;Bardzo niskie;M;Stały związek;Własne;Umysłowy;10;26;Dobra
14;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;25;44;Zła
15;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Fizyczny;13;46;Dobra
16;Używany samochód;Bardzo niskie;M;Rozwiedziona(y);Własne;Umysłowy;31;39;Dobra
17;Meble;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;49;25;Zła
18;Nowy samochód;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;13;31;Dobra
19;Remont;Brak;M;Samotna(y);Własne;Umysłowy;28;47;Dobra
20;Edukacja;Bardzo wysokie;K;Rozwiedziona(y);Wynajem;Umysłowy;7;23;Zła
21;Meble;Wysokie;K;Rozwiedziona(y);Własne;Umysłowy;34;22;Zła
22;Meble;Niskie;K;Rozwiedziona(y);Wynajem;Umysłowy;13;26;Zła
23;Meble;Brak;M;Stały związek;Własne;Umysłowy;25;19;Zła
24;Meble;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;37;27;Zła
25;Nowy samochód;Wysokie;M;Samotna(y);Wynajem;Fizyczny;11;39;Dobra
26;Business;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;22;26;Dobra
27;Używany samochód;Brak;M;Samotna(y);Wynajem;Umysłowy;19;50;Zła
28;Używany samochód;Brak;M;Samotna(y);Wynajem;Umysłowy;49;34;Dobra
29;Drobne AGD;Bardzo niskie;M;Samotna(y);Wynajem;Umysłowy;37;23;Dobra
30;Drobne AGD;Bardzo niskie;M;Samotna(y);Własne;Umysłowy;19;23;Dobra
31;Edukacja;Niskie;M;Samotna(y);Wynajem;Umysłowy;37;46;Zła
32;Drobne AGD;Brak;M;Samotna(y);Własne;Umysłowy;31;35;Dobra
33;Drobne AGD;Bardzo niskie;K;Rozwiedziona(y);Własne;Umysłowy;13;28;Dobra
